Game,Move No,Player,Move,chess.com Classification,Played Move Classification,Played Move Standing,Played Move Evaluation,Evaluation (Before Move),Win %,Legal Moves (At Move),Game Phase,Material Advantage,Line 1 Eval,Win % (Player),Win % (Player)_scaled,Move Quality (Delta)
3,1,White,d4,book,excellent,2,0.37,0.47,53.6,20,Opening,0,0.43,53.6,0.536,-0.1
3,1,Black,e5,book,mistake,11,1.35,0.36,63.5,20,Opening,0,0.31,36.5,0.365,0.99
3,2,White,c4,book,mistake,6,-0.22,1.35,48.5,29,Opening,0,1.42,48.5,0.485,-1.57
3,2,Black,exd4,best,best,1,-0.07,-0.15,48.8,31,Opening,0,-0.07,51.2,0.512,0.08
3,3,White,Qxd4,best,best,1,-0.11,-0.12,49.1,30,Opening,-1,-0.11,49.1,0.491,0.01
3,3,Black,Nc6,best,best,1,-0.18,-0.09,48.6,29,Opening,0,-0.18,51.4,0.514,-0.09
3,4,White,Qd1,best,best,1,-0.09,-0.14,49.3,43,Opening,0,-0.09,49.3,0.493,0.05
3,4,Black,Nf6,best,best,1,-0.11,-0.07,48.7,32,Opening,0,-0.11,51.3,0.513,-0.04
3,5,White,Nc3,best,best,1,-0.14,-0.13,48.9,33,Opening,0,-0.14,48.9,0.489,-0.01
3,5,Black,Bb4,best,excellent,2,-0.09,-0.11,49.1,30,Opening,0,-0.09,50.9,0.509,0.02
3,6,White,Nf3,inaccuracy,inaccuracy,6,-0.91,-0.09,39.3,30,Opening,0,-0.07,39.3,0.39299999999999996,-0.82
3,6,Black,O-O,inaccuracy,inaccuracy,4,-0.12,-1.07,49.0,34,Opening,0,-1,51.0,0.51,0.95
3,7,White,Bg5,inaccuracy,inaccuracy,2,-0.66,-0.1,41.8,33,Opening,0,-0.12,41.8,0.418,-0.56
3,7,Black,d6,good,inaccuracy,3,-0.24,-0.82,47.4,30,Opening,0,-0.74,52.6,0.526,0.58
3,8,White,Qb3,good,good,7,-0.58,-0.26,43.4,36,Opening,0,-0.15,43.4,0.434,-0.32
3,8,Black,Bf5,excellent,good,7,-0.33,-0.66,45.5,34,Opening,0,-0.66,54.5,0.545,0.33
3,9,White,a3,best,best,1,-0.34,-0.45,45.3,33,Opening,0,-0.34,45.3,0.45299999999999996,0.11
3,9,Black,Bxc3+,inaccuracy,inaccuracy,2,0.08,-0.47,51.7,42,Opening,0,-0.36,48.3,0.483,0.55
3,10,White,Qxc3,best,best,1,0.15,0.17,51.4,5,Opening,-3,0.15,51.4,0.514,-0.02
3,10,Black,Re8,excellent,good,3,0.23,0.14,53.1,39,Opening,0,0.16,46.9,0.469,0.09
3,11,White,e3,excellent,good,2,0.03,0.31,49.5,41,Opening,0,0.27,49.5,0.495,-0.28
3,11,Black,Qd7,mistake,mistake,11,1.5,-0.05,65.0,43,Opening,0,0,35.0,0.35,1.55
3,12,White,Bxf6,great,great,1,1.58,1.5,66.2,39,Opening,0,1.58,66.2,0.662,0.08
3,12,Black,gxf6,best,best,1,1.54,1.62,65.8,43,Middlegame,3,1.54,34.2,0.342,-0.08
3,13,White,Qxf6,best,best,1,1.52,1.58,64.9,36,Middlegame,0,1.52,64.9,0.649,-0.06
3,13,Black,Re6,excellent,best,1,1.59,1.49,64.7,39,Middlegame,1,1.59,35.3,0.353,0.1
3,14,White,Qg5+,inaccuracy,inaccuracy,3,1.05,1.47,59.8,40,Middlegame,1,1.47,59.8,0.598,-0.42
3,14,Black,Rg6,best,best,1,1.04,0.98,59.8,4,Middlegame,1,1.04,40.2,0.402,0.06
3,15,White,Qf4,excellent,excellent,2,0.9,0.98,59.7,36,Middlegame,1,0.9,59.7,0.597,-0.08
3,15,Black,Re8,mistake,mistake,11,2.78,0.97,77.8,43,Middlegame,1,0.93,22.200000000000003,0.22200000000000003,1.81
3,16,White,Nh4,great,best,1,2.68,2.78,77.6,36,Middlegame,1,2.68,77.6,0.7759999999999999,-0.1
3,16,Black,Rf6,mistake,blunder,11,4.81,2.76,92.0,47,Middlegame,1,2.93,8.0,0.08,2.05
3,17,White,Nxf5,miss,blunder,6,2.0,4.81,69.2,33,Middlegame,1,4.56,69.2,0.6920000000000001,-2.81
3,17,Black,Rxf5,excellent,excellent,2,2.16,1.92,71.7,35,Middlegame,4,2.12,28.299999999999997,0.283,0.24
3,18,White,Qg3+,excellent,best,1,2.02,2.17,68.6,32,Middlegame,1,2.02,68.6,0.6859999999999999,-0.15
3,18,Black,Kh8,good,good,2,2.09,1.86,70.6,3,Middlegame,1,2.05,29.400000000000006,0.29400000000000004,0.23
3,19,White,Bd3,excellent,good,2,2.06,2.06,66.8,31,Middlegame,1,2.09,66.8,0.6679999999999999,0.0
3,19,Black,Rf6,inaccuracy,mistake,5,3.24,1.68,82.5,41,Middlegame,1,1.75,17.5,0.175,1.56
3,20,White,O-O,miss,blunder,8,0.8,3.25,59.2,40,Middlegame,1,3.04,59.2,0.5920000000000001,-2.45
